"issueKey","status","hoursSpent"
"CS-417","Testing/Review","333.86"
"CS-416","In Progress","7.14"
"CS-416","Testing/Review","316.19"
"CS-415","In Progress","285.99"
"CS-415","Testing/Review","76.59"
"CS-414","In Progress","1.94"
"CS-414","Testing/Review","168.03"
"CS-413","In Progress","0.01"
"CS-413","Testing/Review","383.39"
"CS-411","In Progress","16.48"
"CS-411","Testing/Review","71.05"
"CS-410","In Progress","46.50"
"CS-410","Testing/Review","319.96"
"CS-409","In Progress","0.21"
"CS-409","Testing/Review","385.58"
"CS-408","In Progress","20.49"
"CS-407","In Progress","0.24"
"CS-407","Testing/Review","197.71"
"CS-406","In Progress","0.58"
"CS-406","Testing/Review","459.10"
"CS-405","In Progress","67.97"
"CS-405","Testing/Review","222.16"
"CS-404","In Progress","0.01"
"CS-404","Testing/Review","500.11"
"CS-403","In Progress","0.67"
"CS-403","Testing/Review","291.75"
"CS-402","In Progress","0.01"
"CS-402","Testing/Review","507.61"
"CS-401","In Progress","1.08"
"CS-401","Testing/Review","317.98"
"CS-400","In Progress","1.97"
"CS-400","Testing/Review","17.19"
"CS-399","In Progress","0.15"
"CS-399","Testing/Review","527.61"
"CS-398","In Progress","0.46"
"CS-398","Testing/Review","526.84"
"CS-397","In Progress","0.00"
"CS-396","In Progress","0.14"
"CS-396","Testing/Review","551.05"
"CS-395","In Progress","0.86"
"CS-395","Testing/Review","554.60"
"CS-394","In Progress","579.69"
"CS-393","In Progress","43.70"
"CS-393","Testing/Review","341.12"
"CS-392","In Progress","43.29"
"CS-392","Testing/Review","341.69"
"CS-391","In Progress","29.50"
"CS-391","Testing/Review","551.17"
"CS-390","In Progress","13.32"
"CS-390","Testing/Review","465.21"
"CS-389","In Progress","65.19"
"CS-389","Testing/Review","393.73"
"CS-388","In Progress","37.83"
"CS-388","Testing/Review","605.82"
"CS-387","In Progress","93.90"
"CS-387","Testing/Review","534.12"
"CS-385","In Progress","0.13"
"CS-385","Testing/Review","235.46"
"CS-384","In Progress","306.24"
"CS-384","Testing/Review","22.91"
"CS-383","In Progress","313.38"
"CS-383","Testing/Review","122.65"
"CS-382","In Progress","2.76"
"CS-382","Testing/Review","861.27"
"CS-381","In Progress","0.37"
"CS-381","Testing/Review","867.12"
"CS-380","In Progress","286.70"
"CS-380","Testing/Review","48.36"
"CS-379","In Progress","20.64"
"CS-379","Testing/Review","235.44"
"CS-378","In Progress","19.88"
"CS-378","Testing/Review","46.48"
"CS-377","In Progress","13.13"
"CS-377","Testing/Review","822.06"
"CS-376","In Progress","31.11"
"CS-376","Testing/Review","255.56"
"CS-375","In Progress","1161.85"
"CS-375","Testing/Review","256.94"
"CS-374","In Progress","0.00"
"CS-374","Testing/Review","894.78"
"CS-373","In Progress","0.23"
"CS-373","Testing/Review","63.62"
"CS-372","In Progress","0.65"
"CS-372","Testing/Review","67.30"
"CS-371","In Progress","33.78"
"CS-371","Testing/Review","264.99"
"CS-370","In Progress","0.05"
"CS-370","Testing/Review","914.61"
"CS-369","In Progress","0.09"
"CS-369","Testing/Review","983.61"
"CS-368","In Progress","0.57"
"CS-368","Testing/Review","79.09"
"CS-367","In Progress","23.28"
"CS-367","Testing/Review","286.57"
"CS-366","In Progress","0.90"
"CS-366","Testing/Review","147.88"
"CS-365","In Progress","17.36"
"CS-365","Testing/Review","96.03"
"CS-364","In Progress","53.23"
"CS-364","Testing/Review","978.67"
"CS-363","In Progress","481.03"
"CS-363","Testing/Review","551.17"
"CS-362","In Progress","1.78"
"CS-362","Testing/Review","115.80"
"CS-361","In Progress","18.11"
"CS-361","Testing/Review","147.85"
"CS-360","In Progress","15.11"
"CS-360","Testing/Review","178.01"
"CS-359","In Progress","19.31"
"CS-359","Testing/Review","1036.52"
"CS-358","In Progress","20.38"
"CS-358","Testing/Review","119.84"
"CS-357","In Progress","211.96"
"CS-357","Testing/Review","1.59"
"CS-356","In Progress","0.00"
"CS-354","In Progress","22.63"
"CS-354","Testing/Review","177.96"
"CS-353","In Progress","0.03"
"CS-353","Testing/Review","163.98"
"CS-352","In Progress","68.65"
"CS-352","Testing/Review","170.67"
"CS-351","In Progress","14.19"
"CS-351","Testing/Review","1158.53"
"CS-350","In Progress","4.20"
"CS-350","Testing/Review","1171.04"
"CS-349","In Progress","0.06"
"CS-349","Testing/Review","1176.32"
"CS-348","In Progress","18.62"
"CS-348","Testing/Review","241.63"
"CS-347","In Progress","0.51"
"CS-347","Testing/Review","1178.91"
"CS-346","In Progress","0.03"
"CS-346","Testing/Review","1179.48"
"CS-345","In Progress","22.04"
"CS-345","Testing/Review","1180.28"
"CS-344","In Progress","3.25"
"CS-344","Testing/Review","112.41"
"CS-343","In Progress","0.12"
"CS-343","Testing/Review","10.82"
"CS-342","In Progress","158.96"
"CS-342","Testing/Review","146.02"
"CS-341","In Progress","17.79"
"CS-341","Testing/Review","1207.47"
"CS-340","In Progress","47.88"
"CS-340","Testing/Review","1181.02"
"CS-339","In Progress","19.65"
"CS-339","Testing/Review","1231.57"
"CS-338","In Progress","1.05"
"CS-338","Testing/Review","316.31"
"CS-337","In Progress","23.10"
"CS-337","Testing/Review","393.49"
"CS-336","In Progress","18.31"
"CS-336","Testing/Review","364.16"
"CS-335","In Progress","13.28"
"CS-335","Testing/Review","368.20"
"CS-334","In Progress","0.10"
"CS-334","Testing/Review","1320.10"
"CS-333","In Progress","5.38"
"CS-333","Testing/Review","141.85"
"CS-332","In Progress","121.25"
"CS-332","Testing/Review","286.23"
"CS-331","In Progress","0.01"
"CS-331","Testing/Review","1325.71"
"CS-330","In Progress","0.07"
"CS-330","Testing/Review","1325.90"
"CS-329","In Progress","16.71"
"CS-329","Testing/Review","486.56"
"CS-328","In Progress","26.33"
"CS-328","Testing/Review","1344.33"
"CS-327","In Progress","5.85"
"CS-327","Testing/Review","187.14"
"CS-326","In Progress","3.09"
"CS-326","Testing/Review","20.03"
"CS-325","In Progress","0.00"
"CS-325","Testing/Review","0.00"
"CS-324","In Progress","0.01"
"CS-324","Testing/Review","194.12"
"CS-323","In Progress","4.22"
"CS-323","Testing/Review","195.27"
"CS-322","In Progress","24.19"
"CS-322","Testing/Review","0.00"
"CS-321","In Progress","99.12"
"CS-321","Testing/Review","486.99"
"CS-320","In Progress","70.75"
"CS-320","Testing/Review","24.83"
"CS-319","In Progress","23.11"
"CS-319","Testing/Review","71.66"
"CS-318","In Progress","2.43"
"CS-318","Testing/Review","2.08"
"CS-317","In Progress","617.45"
"CS-316","In Progress","44.63"
"CS-316","Testing/Review","221.50"
"CS-315","In Progress","0.22"
"CS-315","Testing/Review","1260.72"
"CS-314","In Progress","9.49"
"CS-314","Testing/Review","288.20"
"CS-313","In Progress","49.06"
"CS-313","Testing/Review","248.69"
"CS-312","In Progress","23.61"
"CS-312","Testing/Review","119.72"
"CS-311","In Progress","0.40"
"CS-311","Testing/Review","45.71"
"CS-310","In Progress","20.47"
"CS-310","Testing/Review","298.75"
"CS-309","In Progress","211.69"
"CS-309","Testing/Review","1372.20"
"CS-308","In Progress","30.51"
"CS-308","Testing/Review","338.13"
"CS-307","In Progress","159.04"
"CS-307","Testing/Review","272.63"
"CS-306","In Progress","0.25"
"CS-306","Testing/Review","232.98"
"CS-305","In Progress","19.91"
"CS-305","Testing/Review","72.45"
"CS-304","In Progress","150.34"
"CS-303","In Progress","18.73"
"CS-303","Testing/Review","240.06"
"CS-302","In Progress","39.76"
"CS-302","Testing/Review","7.97"
"CS-301","In Progress","24.38"
"CS-301","Testing/Review","5.95"
"CS-300","In Progress","16.96"
"CS-300","Testing/Review","0.15"
"CS-299","In Progress","10.39"
"CS-299","Testing/Review","238.06"
"CS-298","In Progress","0.64"
"CS-298","Testing/Review","123.72"
"CS-297","In Progress","19.84"
"CS-297","Testing/Review","0.14"
"CS-296","In Progress","45.42"
"CS-296","Testing/Review","28.09"
"CS-295","In Progress","1.68"
"CS-295","Testing/Review","73.53"
"CS-294","In Progress","48.96"
"CS-294","Testing/Review","30.51"
"CS-293","In Progress","24.15"
"CS-293","Testing/Review","75.61"
"CS-292","In Progress","48.93"
"CS-292","Testing/Review","100.68"
"CS-291","In Progress","70.58"
"CS-291","Testing/Review","1.02"
"CS-290","In Progress","0.03"
"CS-290","Testing/Review","291.42"
"CS-289","In Progress","0.01"
"CS-289","Testing/Review","310.01"
"CS-288","In Progress","0.02"
"CS-288","Testing/Review","312.87"
"CS-287","In Progress","99.84"
"CS-286","In Progress","116.95"
"CS-285","In Progress","116.93"
"CS-283","In Progress","1.33"
"CS-283","Testing/Review","0.68"
"CS-282","In Progress","20.43"
"CS-282","Testing/Review","315.76"
"CS-281","In Progress","0.00"
"CS-280","In Progress","0.00"
"CS-279","In Progress","0.00"
"CS-279","Testing/Review","403.03"
"CS-278","In Progress","0.35"
"CS-278","Testing/Review","120.63"
"CS-277","In Progress","0.00"
"CS-276","In Progress","30.82"
"CS-276","Testing/Review","331.43"
"CS-275","In Progress","0.00"
"CS-274","In Progress","0.00"
"CS-273","In Progress","37.38"
"CS-273","Testing/Review","123.17"
"CS-272","In Progress","43.92"
"CS-272","Testing/Review","123.19"
"CS-271","In Progress","17.47"
"CS-271","Testing/Review","99.50"
"CS-270","In Progress","46.97"
"CS-270","Testing/Review","123.10"
"CS-269","In Progress","23.00"
"CS-269","Testing/Review","148.11"
"CS-268","In Progress","0.00"
"CS-267","In Progress","0.08"
"CS-267","Testing/Review","237.67"
"CS-266","In Progress","0.07"
"CS-266","Testing/Review","46.56"
"CS-265","In Progress","0.83"
"CS-265","Testing/Review","46.61"
"CS-264","In Progress","0.00"
"CS-263","In Progress","3.03"
"CS-263","Testing/Review","189.28"
"CS-262","In Progress","44.84"
"CS-262","Testing/Review","49.37"
"CS-261","In Progress","96.15"
"CS-261","Testing/Review","96.19"
"CS-260","In Progress","0.03"
"CS-260","Testing/Review","2020.49"
"CS-259","In Progress","0.04"
"CS-259","Testing/Review","38.60"
"CS-258","In Progress","12.77"
"CS-258","Testing/Review","74.59"
"CS-257","In Progress","0.20"
"CS-257","Testing/Review","2.01"
"CS-256","In Progress","0.01"
"CS-256","Testing/Review","496.92"
"CS-255","In Progress","2.52"
"CS-255","Testing/Review","4.30"
"CS-254","In Progress","0.03"
"CS-254","Testing/Review","500.41"
"CS-253","In Progress","3.36"
"CS-253","Testing/Review","15.75"
"CS-252","In Progress","0.04"
"CS-252","Testing/Review","502.67"
"CS-251","In Progress","3.53"
"CS-251","Testing/Review","17.43"
"CS-250","In Progress","1.09"
"CS-250","Testing/Review","95.72"
"CS-249","In Progress","4.46"
"CS-249","Testing/Review","0.00"
"CS-248","In Progress","0.03"
"CS-248","Testing/Review","521.91"
"CS-247","In Progress","18.93"
"CS-247","Testing/Review","2043.23"
"CS-246","In Progress","0.02"
"CS-246","Testing/Review","117.48"
"CS-245","In Progress","5.31"
"CS-245","Testing/Review","521.92"
"CS-244","In Progress","1.42"
"CS-244","Testing/Review","520.85"
"CS-243","In Progress","3.48"
"CS-243","Testing/Review","30.49"
"CS-242","In Progress","0.04"
"CS-242","Testing/Review","529.93"
"CS-241","In Progress","0.17"
"CS-241","Testing/Review","37.49"
"CS-240","In Progress","1.01"
"CS-240","Testing/Review","28.13"
"CS-239","In Progress","21.28"
"CS-239","Testing/Review","44.85"
"CS-238","In Progress","23.05"
"CS-238","Testing/Review","21.50"
"CS-237","In Progress","11.82"
"CS-237","Testing/Review","100.14"
"CS-236","In Progress","20.31"
"CS-236","Testing/Review","141.75"
"CS-235","In Progress","0.00"
"CS-234","In Progress","44.04"
"CS-234","Testing/Review","25.29"
"CS-233","In Progress","0.01"
"CS-233","Testing/Review","69.81"
"CS-232","In Progress","3.60"
"CS-232","Testing/Review","69.78"
"CS-231","In Progress","0.00"
"CS-230","In Progress","0.43"
"CS-230","Testing/Review","0.73"
"CS-229","In Progress","0.00"
"CS-229","Testing/Review","0.00"
"CS-228","In Progress","0.09"
"CS-228","Testing/Review","552.76"
"CS-227","In Progress","16.26"
"CS-227","Testing/Review","140.87"
"CS-226","In Progress","74.55"
"CS-226","Testing/Review","66.32"
"CS-225","In Progress","2.96"
"CS-225","Testing/Review","19.78"
"CS-224","In Progress","48.42"
"CS-223","In Progress","0.00"
"CS-223","Testing/Review","0.00"
"CS-222","In Progress","4.99"
"CS-222","Testing/Review","22.69"
"CS-221","In Progress","0.00"
"CS-221","Testing/Review","0.00"
"CS-220","In Progress","0.00"
"CS-219","In Progress","0.00"
"CS-219","Testing/Review","0.00"
"CS-218","In Progress","24.80"
"CS-218","Testing/Review","22.69"
"CS-217","In Progress","31.52"
"CS-217","Testing/Review","22.69"
"CS-216","In Progress","0.00"
"CS-215","In Progress","0.00"
"CS-215","Testing/Review","0.00"
"CS-214","In Progress","95.29"
"CS-214","Testing/Review","2.61"
"CS-213","In Progress","97.07"
"CS-212","In Progress","22.51"
"CS-212","Testing/Review","73.40"
"CS-211","In Progress","116.20"
"CS-210","In Progress","72.73"
"CS-210","Testing/Review","0.00"
"CS-209","In Progress","69.81"
"CS-209","Testing/Review","122.00"
"CS-208","In Progress","72.73"
"CS-208","Testing/Review","0.00"
"CS-207","In Progress","86.27"
"CS-207","Testing/Review","2069.47"
"CS-206","In Progress","0.00"
"CS-205","In Progress","0.00"
"CS-204","In Progress","0.00"
"CS-203","In Progress","0.00"
"CS-202","In Progress","0.00"
"CS-201","In Progress","0.00"
"CS-200","In Progress","0.00"
"CS-199","In Progress","0.00"
"CS-198","In Progress","0.00"
"CS-197","In Progress","0.00"
"CS-196","In Progress","0.00"
"CS-195","In Progress","0.00"
"CS-194","In Progress","0.00"
"CS-193","In Progress","0.00"
"CS-192","In Progress","0.00"
"CS-191","In Progress","0.00"
"CS-190","In Progress","0.00"
"CS-189","In Progress","0.00"
"CS-188","In Progress","0.00"
"CS-187","In Progress","0.00"
"CS-186","In Progress","0.00"
"CS-185","In Progress","0.00"
"CS-184","In Progress","0.00"
"CS-183","In Progress","116.44"
"CS-182","In Progress","30.26"
"CS-181","In Progress","72.73"
"CS-181","Testing/Review","0.00"
"CS-180","In Progress","55.08"
"CS-180","Testing/Review","0.00"
"CS-179","In Progress","55.08"
"CS-179","Testing/Review","0.00"
"CS-178","In Progress","0.00"
"CS-178","Testing/Review","0.00"
"CS-177","In Progress","0.71"
"CS-177","Testing/Review","64.33"
"CS-176","In Progress","0.00"
"CS-175","In Progress","55.08"
"CS-175","Testing/Review","0.00"
"CS-174","In Progress","78.92"
"CS-174","Testing/Review","0.00"
"CS-173","In Progress","245.68"
"CS-173","Testing/Review","66.11"
"CS-172","In Progress","7.09"
"CS-172","Testing/Review","73.05"
"CS-171","In Progress","7.09"
"CS-171","Testing/Review","73.04"
"CS-170","In Progress","72.82"
"CS-170","Testing/Review","94.97"
"CS-169","In Progress","0.01"
"CS-169","Testing/Review","0.00"
"CS-168","In Progress","80.56"
"CS-168","Testing/Review","0.00"
"CS-167","In Progress","1.34"
"CS-167","Testing/Review","18.64"
"CS-166","In Progress","99.01"
"CS-166","Testing/Review","0.00"
"CS-165","In Progress","2.87"
"CS-165","Testing/Review","19.98"
"CS-164","In Progress","0.40"
"CS-164","Testing/Review","22.86"
"CS-163","In Progress","23.89"
"CS-163","Testing/Review","81.22"
"CS-162","In Progress","101.30"
"CS-162","Testing/Review","0.00"
"CS-161","In Progress","0.00"
"CS-160","In Progress","22.17"
"CS-160","Testing/Review","23.71"
"CS-159","In Progress","0.00"
"CS-159","Testing/Review","0.01"
"CS-158","In Progress","3.65"
"CS-158","Testing/Review","101.28"
"CS-157","In Progress","1.28"
"CS-157","Testing/Review","45.89"
"CS-156","In Progress","9.27"
"CS-156","Testing/Review","96.09"
"CS-155","In Progress","143.46"
"CS-155","Testing/Review","100.67"
"CS-154","In Progress","115.24"
"CS-154","Testing/Review","0.00"
"CS-153","In Progress","863.57"
"CS-153","Testing/Review","0.00"
"CS-152","In Progress","0.00"
"CS-151","In Progress","22.49"
"CS-151","Testing/Review","0.00"
"CS-149","In Progress","0.00"
"CS-148","In Progress","24.82"
"CS-148","Testing/Review","0.00"
"CS-147","In Progress","0.01"
"CS-147","Testing/Review","104.93"
"CS-146","In Progress","70.79"
"CS-145","In Progress","0.13"
"CS-145","Testing/Review","94.10"
"CS-144","In Progress","0.11"
"CS-144","Testing/Review","94.23"
"CS-143","In Progress","70.79"
"CS-142","In Progress","43.20"
"CS-142","Testing/Review","0.00"
"CS-141","In Progress","0.00"
"CS-141","Testing/Review","0.00"
"CS-140","In Progress","76.70"
"CS-140","Testing/Review","43.20"
"CS-139","In Progress","0.08"
"CS-138","In Progress","21.20"
"CS-138","Testing/Review","142.04"
"CS-137","In Progress","0.00"
"CS-136","In Progress","0.87"
"CS-136","Testing/Review","139.58"
"CS-135","In Progress","22.54"
"CS-135","Testing/Review","142.05"
"CS-134","In Progress","29.63"
"CS-133","In Progress","50.64"
"CS-132","In Progress","19.59"
"CS-132","Testing/Review","158.51"
"CS-131","In Progress","3.13"
"CS-131","Testing/Review","140.47"
"CS-130","In Progress","0.02"
"CS-130","Testing/Review","52.05"
"CS-129","In Progress","0.12"
"CS-129","Testing/Review","52.38"
"CS-128","In Progress","0.72"
"CS-128","Testing/Review","164.39"
"CS-127","In Progress","3.56"
"CS-127","Testing/Review","186.79"
"CS-126","In Progress","0.02"
"CS-126","Testing/Review","209.05"
"CS-125","In Progress","1.55"
"CS-125","Testing/Review","18.19"
"CS-124","In Progress","0.07"
"CS-124","Testing/Review","211.05"
"CS-123","In Progress","0.18"
"CS-123","Testing/Review","211.07"
"CS-122","In Progress","289.56"
"CS-121","In Progress","2.15"
"CS-121","Testing/Review","19.75"
"CS-120","In Progress","9.77"
"CS-120","Testing/Review","167.96"
"CS-119","In Progress","22.25"
"CS-119","Testing/Review","55.86"
"CS-118","In Progress","38.51"
"CS-118","Testing/Review","55.79"
"CS-117","In Progress","0.00"
"CS-116","In Progress","0.00"
"CS-116","Testing/Review","0.00"
"CS-115","In Progress","0.06"
"CS-114","In Progress","312.45"
"CS-113","In Progress","22.71"
"CS-113","Testing/Review","21.91"
"CS-112","In Progress","0.05"
"CS-112","Testing/Review","238.12"
"CS-111","In Progress","0.06"
"CS-111","Testing/Review","238.50"
"CS-110","In Progress","23.83"
"CS-110","Testing/Review","94.16"
"CS-108","In Progress","1.86"
"CS-108","Testing/Review","44.63"
"CS-107","In Progress","0.17"
"CS-107","Testing/Review","46.51"
"CS-106","In Progress","0.23"
"CS-106","Testing/Review","46.45"
"CS-105","In Progress","0.21"
"CS-105","Testing/Review","167.49"
"CS-104","In Progress","75.08"
"CS-104","Testing/Review","97.08"
"CS-103","In Progress","2.51"
"CS-103","Testing/Review","116.85"
"CS-102","In Progress","0.35"
"CS-102","Testing/Review","119.36"
"CS-101","In Progress","2.00"
"CS-101","Testing/Review","383.18"
"CS-100","In Progress","58.71"
"CS-100","Testing/Review","19.75"
"CS-99","In Progress","0.00"
"CS-99","Testing/Review","93.95"
"CS-98","In Progress","12.13"
"CS-98","Testing/Review","191.93"
"CS-97","In Progress","0.00"
"CS-97","Testing/Review","158.43"
"CS-96","In Progress","1.05"
"CS-96","Testing/Review","22.26"
"CS-95","In Progress","0.53"
"CS-95","Testing/Review","114.80"
"CS-94","In Progress","0.22"
"CS-94","Testing/Review","16.21"
"CS-93","In Progress","0.04"
"CS-93","Testing/Review","135.69"
"CS-92","In Progress","23.50"
"CS-92","Testing/Review","305.82"
"CS-91","In Progress","0.23"
"CS-91","Testing/Review","193.85"
"CS-90","In Progress","0.74"
"CS-90","Testing/Review","386.86"
"CS-89","In Progress","0.04"
"CS-89","Testing/Review","408.82"
"CS-88","In Progress","0.03"
"CS-88","Testing/Review","331.45"
"CS-87","In Progress","15.56"
"CS-87","Testing/Review","198.61"
"CS-86","In Progress","24.54"
"CS-86","Testing/Review","16.71"
"CS-85","In Progress","18.60"
"CS-85","Testing/Review","331.40"
"CS-84","In Progress","1.24"
"CS-84","Testing/Review","124.20"
"CS-83","In Progress","0.17"
"CS-83","Testing/Review","356.52"
"CS-82","In Progress","21.62"
"CS-82","Testing/Review","357.25"
"CS-81","In Progress","0.00"
"CS-81","Testing/Review","0.01"
"CS-80","In Progress","0.02"
"CS-80","Testing/Review","378.93"
"CS-79","In Progress","89.77"
"CS-79","Testing/Review","0.00"
"CS-78","In Progress","17.92"
"CS-78","Testing/Review","151.83"
"CS-77","In Progress","0.01"
"CS-76","In Progress","18.36"
"CS-76","Testing/Review","378.84"
"CS-75","In Progress","1.04"
"CS-75","Testing/Review","170.34"
"CS-74","In Progress","0.00"
"CS-74","Testing/Review","94.09"
"CS-73","In Progress","4.15"
"CS-73","Testing/Review","170.35"
"CS-72","In Progress","64.04"
"CS-72","Testing/Review","49.41"
"CS-71","In Progress","0.94"
"CS-71","Testing/Review","3.34"
"CS-70","In Progress","0.73"
"CS-70","Testing/Review","2.56"
"CS-69","In Progress","10.92"
"CS-69","Testing/Review","2.34"
"CS-68","In Progress","0.47"
"CS-68","Testing/Review","71.17"
"CS-67","In Progress","28.01"
"CS-67","Testing/Review","43.36"
"CS-66","In Progress","0.00"
"CS-66","Testing/Review","167.85"
"CS-65","In Progress","2.52"
"CS-65","Testing/Review","0.79"
"CS-64","In Progress","16.91"
"CS-64","Testing/Review","48.68"
"CS-63","In Progress","0.10"
"CS-63","Testing/Review","17.79"
"CS-62","In Progress","0.00"
"CS-62","Testing/Review","0.02"
"CS-61","In Progress","39.75"
"CS-61","Testing/Review","48.63"
"CS-60","In Progress","70.81"
"CS-60","Testing/Review","6.79"
"CS-59","In Progress","72.02"
"CS-59","Testing/Review","6.79"
"CS-58","In Progress","166.57"
"CS-58","Testing/Review","22.95"
"CS-57","In Progress","0.09"
"CS-57","Testing/Review","88.89"
"CS-56","In Progress","4.97"
"CS-56","Testing/Review","93.90"
"CS-55","In Progress","4.97"
"CS-55","Testing/Review","88.98"
"CS-54","In Progress","63.98"
"CS-54","Testing/Review","49.46"
"CS-53","In Progress","2.48"
"CS-53","Testing/Review","15.17"
"CS-52","In Progress","5.90"
"CS-52","Testing/Review","88.98"
"CS-51","In Progress","0.02"
"CS-51","Testing/Review","101.06"
"CS-49","In Progress","20.88"
"CS-49","Testing/Review","212.38"
"CS-48","In Progress","0.64"
"CS-48","Testing/Review","2885.57"
"CS-47","In Progress","3.63"
"CS-47","Testing/Review","115.12"
"CS-46","In Progress","0.00"
"CS-45","In Progress","4.72"
"CS-45","Testing/Review","114.04"
"CS-44","In Progress","0.06"
"CS-44","Testing/Review","91.40"
"CS-43","In Progress","16.05"
"CS-43","Testing/Review","97.75"
"CS-42","In Progress","13.40"
"CS-42","Testing/Review","224.38"
"CS-41","In Progress","47.14"
"CS-41","Testing/Review","119.77"
"CS-40","In Progress","18.72"
"CS-40","Testing/Review","791.53"
"CS-39","In Progress","67.44"
"CS-39","Testing/Review","48.04"
"CS-38","In Progress","69.48"
"CS-38","Testing/Review","66.53"
"CS-37","In Progress","1.56"
"CS-37","Testing/Review","139.20"
"CS-36","In Progress","27.25"
"CS-36","Testing/Review","76.61"
"CS-35","In Progress","141.72"
"CS-35","Testing/Review","2927.96"
"CS-34","In Progress","210.32"
"CS-34","Testing/Review","681.38"
"CS-33","In Progress","0.71"
"CS-33","Testing/Review","891.70"
"CS-32","In Progress","1.36"
"CS-32","Testing/Review","141.05"
"CS-31","In Progress","191.42"
"CS-31","Testing/Review","24.34"
"CS-30","In Progress","46.42"
"CS-30","Testing/Review","143.92"
"CS-29","In Progress","1.36"
"CS-29","Testing/Review","141.05"
"CS-28","In Progress","20.64"
"CS-28","Testing/Review","892.43"
"CS-27","In Progress","0.00"
"CS-27","Testing/Review","0.00"
"CS-26","In Progress","3.19"
"CS-26","Testing/Review","172.03"
"CS-25","In Progress","68.47"
"CS-25","Testing/Review","80.53"
"CS-24","In Progress","48.35"
"CS-24","Testing/Review","151.55"
"CS-23","In Progress","49.57"
"CS-23","Testing/Review","169.32"
"CS-22","In Progress","881.70"
"CS-21","In Progress","165.51"
"CS-21","Testing/Review","2927.97"
"CS-20","In Progress","70.17"
"CS-20","Testing/Review","213.03"
"CS-19","In Progress","26.55"
"CS-19","Testing/Review","265.53"
"CS-18","In Progress","124.55"
"CS-18","Testing/Review","2885.59"
"CS-17","In Progress","1.76"
"CS-17","Testing/Review","305.35"
"CS-15","In Progress","0.34"
"CS-15","Testing/Review","2885.90"
"CS-14","In Progress","1032.45"
"CS-13","In Progress","186.59"
"CS-13","Testing/Review","140.21"
"CS-12","In Progress","111.92"
"CS-12","Testing/Review","3099.42"
"CS-11","In Progress","119.57"
"CS-11","Testing/Review","174.96"
"CS-10","In Progress","1.39"
"CS-10","Testing/Review","331.69"
"CS-9","In Progress","332.76"
"CS-9","Testing/Review","0.00"
"CS-8","In Progress","307.16"
"CS-8","Testing/Review","0.00"
"CS-7","In Progress","23.74"
"CS-7","Testing/Review","3220.97"
"CS-6","In Progress","25.43"
"CS-6","Testing/Review","3220.96"
"CS-5","In Progress","0.14"
"CS-5","Testing/Review","978.84"
"CS-4","In Progress","399.47"
"CS-4","Testing/Review","681.26"
"CS-3","In Progress","673.85"
"CS-1","In Progress","379.50"
"CS-1","Testing/Review","0.00"