"month","column","violations"
"2025-09","Testing/Review",8
"2025-09","In Progress",4
"2025-08","In Progress",14
"2025-08","Testing/Review",31
"2025-07","In Progress",21
"2025-07","Testing/Review",26
"2025-06","In Progress",21
"2025-06","Testing/Review",26
"2025-05","In Progress",18
"2025-05","Testing/Review",24
"2025-04","In Progress",12
"2025-04","Testing/Review",30
"2025-03","In Progress",13
"2025-03","Testing/Review",31
"2025-02","Testing/Review",28
"2025-02","In Progress",12
"2025-01","In Progress",25
"2025-01","Testing/Review",31
"2024-12","In Progress",15
"2024-12","Testing/Review",15